model-1578456962,1578456962,in_sample,0.52,0.2499
model-1578456962,1578456962,in_sample,0.52,0.2519
model-1578456962,1578456962,in_sample,0.52,0.2487
model-1578457000,1578457001.014,in_sample,0.47,0.2501
model-1578457000,1578457001.076,in_sample,0.52,0.2481
model-1578457000,1578457001.145,in_sample,0.52,0.2466
model-1578457092,1578457093.066,0.48,0.2512,0.49,0.2548
model-1578457092,1578457093.192,0.45,0.2562,0.51,0.25
model-1578457092,1578457093.294,0.44,0.2509,0.51,0.25
model-1578457092,1578457093.39,0.49,0.2501,0.51,0.25
model-1578457092,1578457093.48,0.53,0.2494,0.51,0.2499
model-1578457092,1578457093.572,0.49,0.2496,0.52,0.25
model-1578457092,1578457093.664,0.55,0.2493,0.5,0.2501
model-1578457092,1578457093.756,0.57,0.2499,0.49,0.2502
model-1578457092,1578457093.848,0.57,0.2497,0.5,0.2498
model-1578457092,1578457093.943,0.65,0.2488,0.51,0.2497
model-1578457092,1578457094.034,0.56,0.2477,0.51,0.2501
model-1578457092,1578457094.125,0.46,0.2529,0.51,0.25
model-1578457092,1578457094.216,0.51,0.2499,0.51,0.2499
model-1578457092,1578457094.328,0.48,0.2517,0.51,0.2496
model-1578457092,1578457094.419,0.51,0.2493,0.51,0.2494
model-1578457092,1578457094.512,0.52,0.2486,0.51,0.2492
model-1578457092,1578457094.603,0.52,0.2489,0.52,0.249
model-1578457092,1578457094.694,0.6,0.246,0.51,0.2487
model-1578457092,1578457094.787,0.45,0.2501,0.49,0.2484
model-1578457092,1578457094.881,0.62,0.2488,0.52,0.2481
model-1578457092,1578457094.971,0.6,0.249,0.56,0.2483
model-1578457092,1578457095.063,0.53,0.2479,0.51,0.249
model-1578457092,1578457095.155,0.58,0.2439,0.51,0.25
model-1578457092,1578457095.245,0.54,0.246,0.51,0.2506
model-1578457092,1578457095.338,0.53,0.2485,0.57,0.2477
model-1578457092,1578457095.43,0.53,0.2485,0.51,0.2459
model-1578457092,1578457095.521,0.58,0.2418,0.52,0.2461
model-1578457092,1578457095.616,0.54,0.25,0.58,0.2449
model-1578457092,1578457095.707,0.54,0.2493,0.5,0.2449
model-1578457092,1578457095.799,0.47,0.2525,0.5,0.2437
model-1578457092,1578457095.891,0.47,0.2563,0.59,0.2417
model-1578457092,1578457095.983,0.51,0.2497,0.65,0.2419
model-1578457092,1578457096.074,0.71,0.2389,0.5,0.2444
model-1578457092,1578457096.174,0.5,0.2459,0.5,0.2445
model-1578457092,1578457096.266,0.56,0.2405,0.49,0.2446
model-1578457092,1578457096.358,0.5,0.2483,0.52,0.2432
model-1578457092,1578457096.449,0.43,0.2553,0.59,0.2416
model-1578457092,1578457096.54,0.57,0.2444,0.63,0.242
model-1578457092,1578457096.631,0.54,0.2469,0.55,0.2432
model-1578457092,1578457096.724,0.6,0.2424,0.54,0.2438
model-1578457092,1578457096.814,0.56,0.2411,0.51,0.2436
model-1578457092,1578457096.907,0.57,0.2378,0.53,0.2428
model-1578457092,1578457096.998,0.44,0.2507,0.55,0.2412
model-1578457092,1578457097.089,0.53,0.2438,0.63,0.2389
model-1578457092,1578457097.18,0.56,0.2419,0.66,0.2375
model-1578457092,1578457097.274,0.6,0.232,0.68,0.2364
model-1578457092,1578457097.368,0.6,0.2375,0.61,0.2358
model-1578457092,1578457097.461,0.59,0.2403,0.62,0.2363
model-1578457092,1578457097.552,0.49,0.2577,0.62,0.2365
model-1578457092,1578457097.644,0.65,0.2226,0.6,0.2368
model-1578457092,1578457097.735,0.54,0.2601,0.57,0.2395
model-1578457092,1578457097.827,0.51,0.2457,0.58,0.2383
model-1578457092,1578457097.92,0.52,0.2542,0.59,0.236
model-1578457092,1578457098.012,0.52,0.247,0.69,0.2349
model-1578457092,1578457098.105,0.59,0.2337,0.63,0.2372
model-1578457092,1578457098.198,0.58,0.2438,0.59,0.2389
model-1578457092,1578457098.289,0.59,0.2373,0.54,0.2406
model-1578457092,1578457098.383,0.52,0.2479,0.55,0.2415
model-1578457092,1578457098.474,0.63,0.2368,0.54,0.2417
model-1578457092,1578457098.575,0.6,0.2438,0.56,0.2412
